FileName,Crop,leftie,middy,righie
1.png,1,1,1,0
10.png,1,1,0,1
11.png,1,1,0,0
2.png,1,0,0,0
3.png,1,0,0,0
4.png,1,0,0,0
5.png,1,1,0,1
6.png,1,0,0,0
7.png,1,0,0,0
8.png,0,1,0,1
9.png,1,1,1,1
